text,hashtags,placename,"Sit == True  (1), else (0)","Relevant == True (1), else (0)"
b'@TELUSsupport Coming up on 2 hours waiting for online chat support with 4 people ahead of me. \\nCongrats. \\nGreat job. \\nKeep up the good work.',,"Comox Valley A, British Columbia",0,0
"b'@KevinSpacey Dude, I love you and your work. Rapp is also a good actor but I feel he is just trying to get some clout. Be strong homeslice.'",,"Edmonton, Alberta",0,0
b'Lizquen magpatulog kayo may work pa ako bukas anu ba!!! Ikaw ikaw ikaw nlng pumapasok sa isip ko #LizQuenOMNSeattle',LizQuenOMNSeattle,"Richmond Hill, Ontario",0,0
"b'BALLGAME #ASTROS!!! It will go down as one of the greatest, wildest #WorldSeries games in history. Houston beats the #Dodgers 13-12'","ASTROS,WorldSeries,Dodgers","Toronto, Ontario",0,0
"b""Limey rednecks can't stop swearin' outside tha workplace. Canadians are retarded baby killin' freaks""",,"Banff, Alberta",0,0
b'Spent the morning hanging out with SP then worked in the afternoon. Busy day in the call centre today:)',,"Calgary, Alberta",0,0
"b'@wintargetgame Yeah, trading that far up is really just a temp value store until I catch up on sales &amp; can put those funds back to work.'",,"Toronto, Ontario",0,0
"b""That's gotta be the most exciting baseball game I've ever watched. No words. #worldseries""",worldseries,"Toronto, Ontario",1,1
b'https://t.co/ycUm5hVD04 Netflix and chill??? Bitch you basic. Imma need that conversation and conversation tonight \\U0001f64f\\U0001f3fd',,"Spruce Grove, Alberta",1,1
"b'The best of games, the worst o games finally shuffles of its mortal coil.... #WorldSeries'",WorldSeries,"Vancouver, British Columbia",0,0
"b""My anniversary with Drunk Angie is on a Wednesday this year, aka a day where I don't have work! \\U0001f60d WE GONNA CELEBRAT\\u2026 https://t.co/g0vwSBDhFC""",,"New Westminster, British Columbia",0,0
"b""The #WorldSeries2017 was exciting. But I've seen better little league games. In less than 5 1/2 hours.""",WorldSeries2017,"Winnipeg, Manitoba",1,1
b'@jimmyfallon keep up the great work!\\nIll be in NYC in november for the first time w @Twins_McC',,"Ottawa, Ontario",0,0
b'The #WomensConvention was a whirlwind in the best way. Happy to be back in Canada and get started on the work. \\u270a\\ufe0f https://t.co/hx9YwJ5uoq',WomensConvention,"Hamilton, Ontario",0,0
