province_id,province_name,division_id,division_name
46,Manitoba,4609,Division No.  9
59,British Columbia / Colombie-Britannique,5901,East Kootenay
59,British Columbia / Colombie-Britannique,5933,Thompson-Nicola
48,Alberta,4816,Division No. 16
59,British Columbia / Colombie-Britannique,5919,Cowichan Valley
46,Manitoba,4621,Division No. 21
46,Manitoba,4608,Division No.  8
48,Alberta,4811,Division No. 11
48,Alberta,4802,Division No.  2
59,British Columbia / Colombie-Britannique,5951,Bulkley-Nechako
47,Saskatchewan,4714,Division No. 14
46,Manitoba,4604,Division No.  4
59,British Columbia / Colombie-Britannique,5941,Cariboo
48,Alberta,4801,Division No.  1
46,Manitoba,4611,Division No. 11
59,British Columbia / Colombie-Britannique,5929,Sunshine Coast
47,Saskatchewan,4716,Division No. 16
59,British Columbia / Colombie-Britannique,5935,Central Okanagan
46,Manitoba,4606,Division No.  6
48,Alberta,4810,Division No. 10
59,British Columbia / Colombie-Britannique,5926,Comox Valley
59,British Columbia / Colombie-Britannique,5924,Strathcona
48,Alberta,4815,Division No. 15
59,British Columbia / Colombie-Britannique,5927,Powell River
47,Saskatchewan,4707,Division No.  7
47,Saskatchewan,4711,Division No. 11
59,British Columbia / Colombie-Britannique,5937,North Okanagan
48,Alberta,4805,Division No.  5
59,British Columbia / Colombie-Britannique,5953,Fraser-Fort George
59,British Columbia / Colombie-Britannique,5959,Northern Rockies
46,Manitoba,4603,Division No.  3
48,Alberta,4813,Division No. 13
59,British Columbia / Colombie-Britannique,5955,Peace River
59,British Columbia / Colombie-Britannique,5943,Mount Waddington
47,Saskatchewan,4712,Division No. 12
59,British Columbia / Colombie-Britannique,5947,Skeena-Queen Charlotte
46,Manitoba,4620,Division No. 20
59,British Columbia / Colombie-Britannique,5949,Kitimat-Stikine
47,Saskatchewan,4713,Division No. 13
59,British Columbia / Colombie-Britannique,5905,Kootenay Boundary
47,Saskatchewan,4704,Division No.  4
59,British Columbia / Colombie-Britannique,5917,Capital
48,Alberta,4814,Division No. 14
47,Saskatchewan,4706,Division No.  6
59,British Columbia / Colombie-Britannique,5931,Squamish-Lillooet
46,Manitoba,4614,Division No. 14
48,Alberta,4809,Division No.  9
59,British Columbia / Colombie-Britannique,5939,Columbia-Shuswap
59,British Columbia / Colombie-Britannique,5945,Central Coast
47,Saskatchewan,4701,Division No.  1
47,Saskatchewan,4715,Division No. 15
46,Manitoba,4616,Division No. 16
47,Saskatchewan,4718,Division No. 18
47,Saskatchewan,4717,Division No. 17
47,Saskatchewan,4708,Division No.  8
48,Alberta,4803,Division No.  3
59,British Columbia / Colombie-Britannique,5957,Stikine
48,Alberta,4818,Division No. 18
47,Saskatchewan,4709,Division No.  9
47,Saskatchewan,4710,Division No. 10
48,Alberta,4804,Division No.  4
46,Manitoba,4607,Division No.  7
59,British Columbia / Colombie-Britannique,5921,Nanaimo
48,Alberta,4807,Division No.  7
47,Saskatchewan,4703,Division No.  3
48,Alberta,4812,Division No. 12
48,Alberta,4817,Division No. 17
48,Alberta,4806,Division No.  6
48,Alberta,4808,Division No.  8
46,Manitoba,4605,Division No.  5
47,Saskatchewan,4705,Division No.  5
46,Manitoba,4615,Division No. 15
46,Manitoba,4617,Division No. 17
59,British Columbia / Colombie-Britannique,5903,Central Kootenay
59,British Columbia / Colombie-Britannique,5909,Fraser Valley
59,British Columbia / Colombie-Britannique,5915,Greater Vancouver
47,Saskatchewan,4702,Division No.  2
46,Manitoba,4610,Division No. 10
48,Alberta,4819,Division No. 19
59,British Columbia / Colombie-Britannique,5923,Alberni-Clayoquot
59,British Columbia / Colombie-Britannique,5907,Okanagan-Similkameen
35,Ontario,3507,Leeds and Grenville
24,Quebec / Québec,2485,Témiscamingue
35,Ontario,3537,Essex
35,Ontario,3524,Halton
46,Manitoba,4601,Division No.  1
35,Ontario,3539,Middlesex
35,Ontario,3543,Simcoe
35,Ontario,3528,Haldimand-Norfolk
35,Ontario,3559,Rainy River
24,Quebec / Québec,2482,Les Collines-de-l'Outaouais
35,Ontario,3506,Ottawa
35,Ontario,3554,Timiskaming
35,Ontario,3502,Prescott and Russell
35,Ontario,3529,Brant
35,Ontario,3509,Lanark
24,Quebec / Québec,2471,Vaudreuil-Soulanges
24,Quebec / Québec,2477,Les Pays-d'en-Haut
24,Quebec / Québec,2480,Papineau
35,Ontario,3525,Hamilton
35,Ontario,3548,Nipissing
35,Ontario,3541,Bruce
35,Ontario,3514,Northumberland
35,Ontario,3510,Frontenac
35,Ontario,3519,York
35,Ontario,3546,Haliburton
35,Ontario,3547,Renfrew
24,Quebec / Québec,2486,Rouyn-Noranda
35,Ontario,3549,Parry Sound
24,Quebec / Québec,2489,La Vallée-de-l'Or
35,Ontario,3532,Oxford
35,Ontario,3544,Muskoka
24,Quebec / Québec,2476,Argenteuil
35,Ontario,3538,Lambton
24,Quebec / Québec,2478,Les Laurentides
35,Ontario,3518,Durham
24,Quebec / Québec,2473,Thérèse-De Blainville
35,Ontario,3501,"Stormont,  Dundas and Glengarry"
35,Ontario,3540,Huron
35,Ontario,3553,Greater Sudbury / Grand Sudbury
24,Quebec / Québec,2472,Deux-Montagnes
35,Ontario,3513,Prince Edward
24,Quebec / Québec,2475,La Rivière-du-Nord
35,Ontario,3530,Waterloo
35,Ontario,3542,Grey
35,Ontario,3522,Dufferin
35,Ontario,3557,Algoma
35,Ontario,3536,Chatham-Kent
35,Ontario,3511,Lennox and Addington
24,Quebec / Québec,2487,Abitibi-Ouest
35,Ontario,3551,Manitoulin
35,Ontario,3531,Perth
35,Ontario,3523,Wellington
24,Quebec / Québec,2484,Pontiac
24,Quebec / Québec,2481,Gatineau
24,Quebec / Québec,2483,La Vallée-de-la-Gatineau
35,Ontario,3516,Kawartha Lakes
35,Ontario,3520,Toronto
24,Quebec / Québec,2470,Beauharnois-Salaberry
35,Ontario,3534,Elgin
24,Quebec / Québec,2474,Mirabel
35,Ontario,3526,Niagara
35,Ontario,3552,Sudbury
35,Ontario,3512,Hastings
35,Ontario,3515,Peterborough
24,Quebec / Québec,2479,Antoine-Labelle
24,Quebec / Québec,2488,Abitibi
35,Ontario,3521,Peel
24,Quebec / Québec,2469,Le Haut-Saint-Laurent
10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1003,Division No.  3
12,Nova Scotia / Nouvelle-Écosse,1207,Kings
24,Quebec / Québec,2414,Kamouraska
12,Nova Scotia / Nouvelle-Écosse,1216,Richmond
24,Quebec / Québec,2432,L'Érable
24,Quebec / Québec,2404,La Haute-Gaspésie
12,Nova Scotia / Nouvelle-Écosse,1211,Cumberland
10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1001,Division No.  1
13,New Brunswick / Nouveau-Brunswick,1312,Victoria
24,Quebec / Québec,2437,Francheville
12,Nova Scotia / Nouvelle-Écosse,1201,Shelburne
24,Quebec / Québec,2447,La Haute-Yamaska
24,Quebec / Québec,2413,Témiscouata
24,Quebec / Québec,2436,Shawinigan
24,Quebec / Québec,2415,Charlevoix-Est
12,Nova Scotia / Nouvelle-Écosse,1217,Cape Breton
12,Nova Scotia / Nouvelle-Écosse,1215,Inverness
13,New Brunswick / Nouveau-Brunswick,1305,Kings
13,New Brunswick / Nouveau-Brunswick,1313,Madawaska
10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1004,Division No.  4
12,Nova Scotia / Nouvelle-Écosse,1212,Pictou
24,Quebec / Québec,2420,L'Île-d'Orléans
10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1006,Division No.  6
12,Nova Scotia / Nouvelle-Écosse,1210,Colchester
11,Prince Edward Island / Île-du-Prince-Édouard,1103,Prince
10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1008,Division No.  8
12,Nova Scotia / Nouvelle-Écosse,1203,Digby
24,Quebec / Québec,2417,L'Islet
13,New Brunswick / Nouveau-Brunswick,1307,Westmorland
24,Quebec / Québec,2441,Le Haut-Saint-François
24,Quebec / Québec,2431,Les Appalaches
