province_id,province_name,division_id,division_name,latitude,longitude
46,Manitoba,4609,Division No.  9,49.972422,-98.289185
59,British Columbia / Colombie-Britannique,5901,East Kootenay,,
59,British Columbia / Colombie-Britannique,5933,Thompson-Nicola,50.2598803,-121.4070114
48,Alberta,4816,Division No. 16,52.1476514,-106.6680964
59,British Columbia / Colombie-Britannique,5919,Cowichan Valley,48.81174475,-123.803624662522
46,Manitoba,4621,Division No. 21,54.77440345,-101.882480716359
46,Manitoba,4608,Division No.  8,50.9959116,-98.7987473049144
48,Alberta,4811,Division No. 11,52.1476514,-106.6680964
48,Alberta,4802,Division No.  2,50.9227196,-102.791443
59,British Columbia / Colombie-Britannique,5951,Bulkley-Nechako,54.4921242,-125.809230711388
47,Saskatchewan,4714,Division No. 14,53.1869562,-105.7210493
46,Manitoba,4604,Division No.  4,49.2248362,-98.9121735
59,British Columbia / Colombie-Britannique,5941,Cariboo,49.2477785,-122.8897737
48,Alberta,4801,Division No.  1,52.1531542,-106.6680651
46,Manitoba,4611,Division No. 11,49.884017,-97.168579
59,British Columbia / Colombie-Britannique,5929,Sunshine Coast,49.6212539,-124.026415
47,Saskatchewan,4716,Division No. 16,53.1869562,-105.7210493
59,British Columbia / Colombie-Britannique,5935,Central Okanagan,49.9528689,-119.384755517864
46,Manitoba,4606,Division No.  6,49.8485092,-100.9322654
48,Alberta,4810,Division No. 10,51.6394143,-103.5274211
59,British Columbia / Colombie-Britannique,5926,Comox Valley,49.6727748,-124.9276177
59,British Columbia / Colombie-Britannique,5924,Strathcona,49.279554,-123.0899788
48,Alberta,4815,Division No. 15,52.1476514,-106.6680964
59,British Columbia / Colombie-Britannique,5927,Powell River,49.837097,-124.524536
47,Saskatchewan,4707,Division No.  7,53.1869562,-105.7210493
47,Saskatchewan,4711,Division No. 11,53.1869562,-105.7210493
59,British Columbia / Colombie-Britannique,5937,North Okanagan,49.8351549,-119.484048876536
48,Alberta,4805,Division No.  5,52.1476514,-106.6680964
59,British Columbia / Colombie-Britannique,5953,Fraser-Fort George,,
59,British Columbia / Colombie-Britannique,5959,Northern Rockies,59.00140165,-123.471498673751
46,Manitoba,4603,Division No.  3,49.0210445,-98.2528431
48,Alberta,4813,Division No. 13,51.917734,-109.1405612
59,British Columbia / Colombie-Britannique,5955,Peace River,55.9828406,-121.9947387
59,British Columbia / Colombie-Britannique,5943,Mount Waddington,51.3737074,-125.263529
47,Saskatchewan,4712,Division No. 12,53.1869562,-105.7210493
59,British Columbia / Colombie-Britannique,5947,Skeena-Queen Charlotte,54.2370102,-129.8373263
46,Manitoba,4620,Division No. 20,51.9667188,-101.5617688
59,British Columbia / Colombie-Britannique,5949,Kitimat-Stikine,54.017452,-128.688354
47,Saskatchewan,4713,Division No. 13,53.1869562,-105.7210493
59,British Columbia / Colombie-Britannique,5905,Kootenay Boundary,50.16641145,-115.605236680592
47,Saskatchewan,4704,Division No.  4,53.1869562,-105.7210493
59,British Columbia / Colombie-Britannique,5917,Capital,49.2814237,-123.1330616
48,Alberta,4814,Division No. 14,52.8624503,-104.6063771
47,Saskatchewan,4706,Division No.  6,53.1869562,-105.7210493
59,British Columbia / Colombie-Britannique,5931,Squamish-Lillooet,49.701391,-123.151245
46,Manitoba,4614,Division No. 14,50.1327525,-97.3270268320833
48,Alberta,4809,Division No.  9,51.5669475,-101.9052489
59,British Columbia / Colombie-Britannique,5939,Columbia-Shuswap,51.45081845,-117.632953828762
59,British Columbia / Colombie-Britannique,5945,Central Coast,,
47,Saskatchewan,4701,Division No.  1,52.1200598,-106.6700821
47,Saskatchewan,4715,Division No. 15,53.1869562,-105.7210493
46,Manitoba,4616,Division No. 16,51.233333,-101.35
47,Saskatchewan,4718,Division No. 18,53.1869562,-105.7210493
47,Saskatchewan,4717,Division No. 17,53.1869562,-105.7210493
47,Saskatchewan,4708,Division No.  8,53.1869562,-105.7210493
48,Alberta,4803,Division No.  3,52.1476514,-106.6680964
59,British Columbia / Colombie-Britannique,5957,Stikine,58.000891,-127.937374427118
48,Alberta,4818,Division No. 18,52.1476514,-106.6680964
47,Saskatchewan,4709,Division No.  9,53.1869562,-105.7210493
47,Saskatchewan,4710,Division No. 10,53.1869562,-105.7210493
48,Alberta,4804,Division No.  4,52.8624503,-104.6063771
46,Manitoba,4607,Division No.  7,49.850381,-99.959106
59,British Columbia / Colombie-Britannique,5921,Nanaimo,49.166441,-123.939514
48,Alberta,4807,Division No.  7,52.1476514,-106.6680964
47,Saskatchewan,4703,Division No.  3,53.1869562,-105.7210493
48,Alberta,4812,Division No. 12,52.1476514,-106.6680964
48,Alberta,4817,Division No. 17,52.1476514,-106.6680964
48,Alberta,4806,Division No.  6,,
48,Alberta,4808,Division No.  8,52.1476514,-106.6680964
46,Manitoba,4605,Division No.  5,49.8310583,-99.9602367
47,Saskatchewan,4705,Division No.  5,53.1869562,-105.7210493
46,Manitoba,4615,Division No. 15,,
46,Manitoba,4617,Division No. 17,51.153509,-100.04425
59,British Columbia / Colombie-Britannique,5903,Central Kootenay,50.03194325,-117.485445499337
59,British Columbia / Colombie-Britannique,5909,Fraser Valley,59.715297,-135.0479946
59,British Columbia / Colombie-Britannique,5915,Greater Vancouver,49.0935151,-122.487078538805
47,Saskatchewan,4702,Division No.  2,53.1869562,-105.7210493
46,Manitoba,4610,Division No. 10,,
48,Alberta,4819,Division No. 19,52.1476514,-106.6680964
59,British Columbia / Colombie-Britannique,5923,Alberni-Clayoquot,49.266667,-124.8
59,British Columbia / Colombie-Britannique,5907,Okanagan-Similkameen,49.45603675,-120.190751651949
35,Ontario,3507,Leeds and Grenville,44.70309435,-75.8989237214255
24,Quebec / Québec,2485,Témiscamingue,48.2172576,-79.0901374
35,Ontario,3537,Essex,42.03350855,-82.806841127654
35,Ontario,3524,Halton,43.5104303,-79.8948700066769
46,Manitoba,4601,Division No.  1,50.9959116,-98.7987473049144
35,Ontario,3539,Middlesex,42.9791385,-80.9305313
35,Ontario,3543,Simcoe,44.44590855,-79.8498380080937
35,Ontario,3528,Haldimand-Norfolk,43.1703733,-80.2572541880299
35,Ontario,3559,Rainy River,48.722679,-94.564819
24,Quebec / Québec,2482,Les Collines-de-l'Outaouais,45.6235107,-75.8362613619339
