text,hashtags,placename
b'Making History In The Ring! \\n\\nMeet the team of 10 women from around the world representing the sport of #boxing. We\\u2026 https://t.co/M8lOnuAVcN',boxing,"Toronto, Ontario"
b'Kicking a ball is important @mattgallowaycbc #physical literacy',physical,"Toronto, Ontario"
"b'@smcolbert All of your options are clones of other brands which is the root of the problem. How about, great storie\\u2026 https://t.co/8eMGzbSgb4'",,"Toronto, Ontario"
b'@TorontoCouncil &amp; @TorontoComms they all bend over to them and takes a lot of guts to stand for what\\u2019s right &amp; just\\u2026 https://t.co/tvF7u5Lb4r',,"Toronto, Ontario"
b'@vmetu @EuphoricEuler When you are cutting 75 to 80% from Departments that not cutting waste. That\\u2019s vindictive castration.',,"Toronto, Ontario"
b'@realDonaldTrump It is Disgusting that you are allowing body parts of Endangered Species &amp; Animals by hunters into\\u2026 https://t.co/IFvWdETipH',,"Toronto, Ontario"
b'thanks for the killer shoot. presgang! any excuse to do wacky hair &amp; throw on my velvet coat.\\u2026 https://t.co/8gN6AdOzIT',,"Toronto, Ontario"
b'Post yoga smoothie bowl .. 2 classes bank to back and now restaurant for the night. Following my\\u2026 https://t.co/XoxTuKVtDp',,"Toronto, Ontario"
"b'Changing trains! (@ Kennedy Subway/RT Station in Toronto, ON) https://t.co/Gf5b3pFSxh'",,"Toronto, Ontario"
"b'@markt1985 The man killer a woman, murdered her. 15 years is not nearly enough. People get 15 years for car theft,\\u2026 https://t.co/y81V9zibOE'",,"Toronto, Ontario"
"b""Best you stick to the sports pages Robin by'e. https://t.co/Czw1ix8a97""",,"Toronto, Ontario"
"b'I won a spot dance in 1985. It was a 45 of ""Tears Are Not Enough"" by Northern Lights. \\U0001f615'",,"Toronto, Ontario"
"b""@JohnTory Pick ups in between intersections don't make sense for tranfers, or for wherever you're walking to. #KingStreetPilot""",KingStreetPilot,"Toronto, Ontario"
b'@TremendaoNeil @JoeSimpson79 Agree...\\n\\nAny run in Nolan timeline as well.',,"Toronto, Ontario"
b'Leader @brownbarrie signing the people\\u2019s guarantee. Proud to run for a Party that puts families first. #pcpolicy17\\u2026 https://t.co/1nKT20syZj',pcpolicy17,"Toronto, Ontario"
b'@Netflix_CA If I lived in Hawkins the same thing as the other side literally carries a little bit of a sudden death\\u2026 https://t.co/JH684TQXxc',,"Toronto, Ontario"
b'@Blitzkriegsler @tubefilter Yup! You seem to be up like 10% but where did the other 500M+ views per month go? XD',,"Toronto, Ontario"
"b'The Santa Claus Parade 2017 \\nFantastic floats, marching bands, dancers , prancers and costumed characters all cheer\\u2026 https://t.co/JiWvgwlaGe'",,"Toronto, Ontario"
b'@EASPORTSFIFA fix your game before I fucking kill everyone that works for you all you British cunts are money whore\\u2026 https://t.co/PTKGsgSgeM',,"Toronto, Ontario"
b'I dont know why others can be really fckin selfish.',,"Toronto, Ontario"
