text,hashtags,placename
b'Such a cool office!! Can I work here every day?? Thanks for having us facebook and instagram\\u2026 https://t.co/RR6XieVChy',,"Toronto, Ontario"
b'The only thing worse than cold shoulder tops is cold shoulder tops with bra straps showing.',,"Toronto, Ontario"
"b'And that isn\\u2019t to say I won\\u2019t watch and support all of these unfortunate creators, I\\u2019m just expecting a lot more https://t.co/PJeVlKBxZT'",,"Toronto, Ontario"
b'Good read on likely the hottest player in the Leafs organization right now. https://t.co/QXnbUDLRcU',,"Toronto, Ontario"
b'will i go to kpop for putting ** &amp; *** on my playlist',,"Toronto, Ontario"
b'will i go to stan twt jail for putting ** &amp; *** on my playlist',,"Toronto, Ontario"
b'@JeffNippard How can I make them bigger by never doing any work?',,"Toronto, Ontario"
"b""These new Digimon movies are garbage. They're not even in the Digiworld anymore!""",,"Toronto, Ontario"
"b'Abbreviated show on TSN2 ahead of #Leafs - #Devils pre-game (watch on TSN4, listen on @TSN1050Radio).\\u2026 https://t.co/uumUDhPjT8'","Leafs,Devils","Toronto, Ontario"
b'Will the @OntarioNDP to support back to work legislation? https://t.co/yoQHM3yi2H',,"Toronto, Ontario"
"b""#RaiseATostitos to our #RDSGlowGirls, for their outstanding work with today's #TopChef competition! @TostitosCanada https://t.co/dUg9XsKc9w""","RaiseATostitos,RDSGlowGirls,TopChef","Toronto, Ontario"
b'Will the @OntarioNDP support back to work legislation??? https://t.co/yoQHM3yi2H',,"Toronto, Ontario"
"b'@ManishaKrishnan For sure! I woulda put more effort, but I saw you liked it so I thought you got it. Keep on the grind, you do great work!'",,"Toronto, Ontario"
"b""I've heard criticisms from casual fans that #ThePunisher is not exactly the show they expected in that it's a much\\u2026 https://t.co/LTwOGoAWM1""",ThePunisher,"Toronto, Ontario"
"b'When I @PlayHearthstone I get annoyed when people concede. But, wwwhhen people play through to *let me win*, am jus\\u2026 https://t.co/6NkMhgYybd'",,"Toronto, Ontario"
"b""When your Mom, who doesn't watch either show, sees @wallykurth at the end of #Days and then the start of #GH and is\\u2026 https://t.co/4bEpeZ7frG""","Days,GH","Toronto, Ontario"
b'One time in the audience of an improv show a player put me on the spot and asked where I feel the most strong and I\\u2026 https://t.co/9pcigzPWeN',,"Toronto, Ontario"
b'PAC man watches for all you classic arcade gamers \\U0001f47e\\n#arcade #pacman #watch #watches #namco\\u2026 https://t.co/ddBTM5fsV9',"arcade,pacman,watch,watches,namco","Toronto, Ontario"
b'Rolled past my work to see if there were any lineups for Black Friday. One ungodly soul was peering into the window. GO HOME AND SLEEP.',,"Toronto, Ontario"
"b'Godless was excellent. A bit bloody but stellar cinematography and gripping work from Jack O\\u2019Connell, Michelle Dock\\u2026 https://t.co/FxRUKjKt93'",,"Toronto, Ontario"
b'Back home safe and sound after a looog assed day and binge watching some #ShesGottaHaveIt and wine. Love the charac\\u2026 https://t.co/DQLfnjKtjb',ShesGottaHaveIt,"Toronto, Ontario"
b'I like when @jbsmith visits me at work',,"Toronto, Ontario"
"b""Congrats @brownbarrie on launching People's Guarantee today. Excited for everyone on your team, who's undoubtedly worked so hard.""",,"Toronto, Ontario"
b'I will never grow tired of watching this https://t.co/RKTk9QIoKu',,"Toronto, Ontario"
b'Just TWO days until the One of a Kind show! Booth V30 setup is underway~ #ooakx17 #ooakdiaries @ooak_toronto',"ooakx17,ooakdiaries","Toronto, Ontario"
b'5 mins in and Corey is already working his magic #ChampsVsStars',ChampsVsStars,"Toronto, Ontario"
"b'Well, look at that. Chris Penso is the ref again, and again a fight breaks out, red card shown, and players overall\\u2026 https://t.co/7xMa9qM5pL'",,"Toronto, Ontario"
"b'I chose the worst episode in history of @CW_TheFlash to show my Mom. ""GirlsNightOut"" I just hated the episode. She\\u2026 https://t.co/boigjjvY8Z'",,"Toronto, Ontario"
"b""Blogging for over 8 yrs now and I've learned that some PR firms it's just not fucking worth trying to work with them.""",,"Toronto, Ontario"
b'@EASPORTSFIFA fix your game before I fucking kill everyone that works for you all you British cunts are money whore\\u2026 https://t.co/PTKGsgSgeM',,"Toronto, Ontario"
"b""So I was watching @nbcdays during Monday's holiday and saw that a character was back from the dead. Does this happe\\u2026 https://t.co/guRwLzW6KP""",,"Toronto, Ontario"
"b""@yung_chelsea @Frost_Mystic I'm at work. grown up stuff, you know.""",,"Toronto, Ontario"
"b""Idk why so many band launches don't have at least one fluffy girl to show off even the one piece costumes.""",,"Toronto, Ontario"
b'@bluemoonGG_ @LiquidTLO @AndromedaRend @UGC_Nin @Kaner_HS @LiquidSnute Like you\\u2019re not going to play https://t.co/utjpZtqfXR',,"Toronto, Ontario"
b'When @couragemylove showed off their vintage camera skills. \\U0001f3a5 \\U0001f4f7 #fbf #couragemylove\\u2026 https://t.co/qAdwYvs3QB',"fbf,couragemylove","Toronto, Ontario"
"b""My new friend @martinkerrmusic is playing at Union Station this afternoon. Don't miss it! https://t.co/Ge5PFKwLrz""",,"Toronto, Ontario"
"b'""It\'s probably not important to shower everyday, right?"" - my uber driver'",,"Toronto, Ontario"
b'Tonight\\u2019s late dinner brought to you by....let\\u2019s throw some f\\u2019n things together and see if it works!!',,"Toronto, Ontario"
"b'A3 Parents love to see their kids build relationships, get dirty from playing (well some!) &amp; engaged in many experiences #leadershipshine'",leadershipshine,"Toronto, Ontario"
b'@ThatPersianGuy weird to say but the raptors offense is actually fun to watch since they stopped trying run half-co\\u2026 https://t.co/gnn7m1sjg3',,"Toronto, Ontario"
"b""I notice there's a lot of fighting on the reality tv shows I watch...  Its a shame really...but\\u2026 https://t.co/HOYEHnWxSn""",,"Toronto, Ontario"
b'Amazing! Thanks for all your hard work and perseverance!\\n#women #getonboard https://t.co/hZGB5jNMRc',"women,getonboard","Toronto, Ontario"
b'When @JustinTrudeau &amp; @JeanYip3  visit Bridlewood Mall in #Scarborough 500+ people showed up\\u2026 https://t.co/BG4MfSDPsD',Scarborough,"Toronto, Ontario"
b'Will play for candy...#lilwill #williamlamoureux #musicfeedsthesoul #candyisdandy\\u2026 https://t.co/BthgoXmX3u',"lilwill,williamlamoureux,musicfeedsthesoul,candyisdandy","Toronto, Ontario"
b'I made a snap story of my new watch w the caption \\u201cin love\\u201d and someone asked if I was talking about a girl. No bit\\u2026 https://t.co/HgKf1iAl2Y',,"Toronto, Ontario"
b'I forgot I was in church... have to watch my words',,"Toronto, Ontario"
"b'@JohnDerringer @JennValentyne @kidparker @Flairboy when Ryan was surprised as to what he saw in the fridge at work,\\u2026 https://t.co/8Z162Sf2ne'",,"Toronto, Ontario"
b'I did too until I realized  I was still broke working at target so I shut my fat ass up. https://t.co/reO20uoRbZ',,"Toronto, Ontario"
