text,hashtags,placename
b'I let my guard slip and drank tea at dinner and consequently couldn\\u2019t sleep. Now I can\\u2019t decide if I should sleep l\\u2026 https://t.co/4BxuTAJA4s',,"Toronto, Ontario"
b'Cant sleep....too much snoring @itsKinosh .....@Twitter scroll here I come. #toronto #sleep',"toronto,sleep","Toronto, Ontario"
"b'Ok, I know you found Jesus, but like, Don\\u2019t ruin it for the rest of us still looking. NO HINTS!!'",,"Toronto, Ontario"
"b""When it's soo hard to sleep because of all the pain that sticks on you, and you keep trying to get it away from you\\u2026 https://t.co/BKIPz902Gi""",,"Toronto, Ontario"
"b""When it's soo hard to sleep because of all the pain that sticks on you, and you keep trying to get it away from you\\u2026 https://t.co/wdGaNUVO8G""",,"Toronto, Ontario"
"b'\\U0001f3b6 Riding on horseback \\n       And keeping order restored \\U0001f3b6 \\n\\nTickets issued on horseback, a pleasant sight during\\u2026 https://t.co/VYjvVxExDd'",,"Toronto, Ontario"
b'i have so much shit to get done but all i want to do is sleep',,"Toronto, Ontario"
b'#imavailable @tinder mais reste pas trop pr\\xe8s non plus. https://t.co/oBhpS60frR',imavailable,"Toronto, Ontario"
b'i think i\\u2019ll go back to bed went to sleep at 2 and woke up at 6',,"Toronto, Ontario"
b'Going to sleep https://t.co/586ub7oNwr',,"Toronto, Ontario"
"b'me thinking that I might have a heart attack: yeah, I\\u2019m not going to sleep tonight'",,"Toronto, Ontario"
"b""$WEED | I'm like Nevada in the middle of the summer\\nI'm restin' in the lead, I need a pillow and a cover\\nShhh, my f\\u2026 https://t.co/wbuV9RAsoz""",,"Toronto, Ontario"
b'@HamzaSauceGod gna sneak up on all you sleeping souls like \\u270b\\U0001f3fd\\U0001f441\\U0001f525 #WAKEUPBXTCHES',WAKEUPBXTCHES,"Toronto, Ontario"
b'Whoever said #Mugabe slept through #Zimbabwe coup wasn\\u2019t joking at all at all https://t.co/PJ0C8XxkD2',"Mugabe,Zimbabwe","Toronto, Ontario"
b'So called woke\\u201d Niggas need to go back to sleep then wake the fuck up again',,"Toronto, Ontario"
b'Spouse is sleeping in the guest room tonight because Meowgaret has probably never spent that much time alone and we\\u2026 https://t.co/d5fNFpTKqw',,"Toronto, Ontario"
b'Am I\\ufe0f just sleepy or did the #Leafs play well in both the first AND second period? #TMLtalk',"Leafs,TMLtalk","Toronto, Ontario"
"b'Check out my Apartment on Airbnb: Great room bus at the front door 15 minutes to downtown Toronto, sleeps 3 https://t.co/Cs6yTa7XMA'",,"Toronto, Ontario"
b'One more sleep til\\U0001f1e8\\U0001f1e6 biggest show. @CFL #GreyCup #Ottawa https://t.co/pGyEUK7rVf',"GreyCup,Ottawa","Toronto, Ontario"
"b""Vape shops fuming over Ontario's proposed restrictions https://t.co/1goy7Ivq8L""",,"Toronto, Ontario"
"b'Some kinders had a chance to make calming jars today to help with self-regulation, the rest will do it tomorrow!\\u2026 https://t.co/okHSo1IGCB'",,"Toronto, Ontario"
b'Maybe I\\u2019ll take a nap first \\U0001f644',,"Toronto, Ontario"
b'peterman not long term answer either . so now we just wasting rest of year . they just spin their fucking wheels man .',,"Toronto, Ontario"
b'Jasmine Pazzano: Journalism school teaches you 80% of everything you need to know in the industry. The rest of the\\u2026 https://t.co/buYISO6GnE',,"Toronto, Ontario"
b'Supporting the tagline ALDUB PA RIN does not necessarily mean you are restraining them to grow as separate individu\\u2026 https://t.co/4icAIYfcdR',,"Toronto, Ontario"
b'living vicariously through my animal crossing character cos this is the most sleep ima get this week https://t.co/6GWaB3eDoB',,"Toronto, Ontario"
b'Delivery has come. Time for nap. @ My Cave https://t.co/Csj6yC5oke',,"Toronto, Ontario"
b'This merits a hot chocolate to calm my nerves before attempting to sleep tonight.  \\U0001f623 https://t.co/Co4ifgw5l2',,"Toronto, Ontario"
b'Aveces se me dificulta dormir',,"Toronto, Ontario"
"b""A November eve bedtime. I with my night guard, milady donning her socks and the vick's vaporub. The rest is, as they say, nnsfw.""",,"Toronto, Ontario"
b'Only a local would know this. They say NYC has known how this kkklan worked for years. The rest of the country/worl\\u2026 https://t.co/xCxSdipP2l',,"Toronto, Ontario"
b'Physiologists will be studying the effect of this americano on my sleep-deprived colon for years.',,"Toronto, Ontario"
b'One more sleep! https://t.co/RTFCvc7ZAh',,"Toronto, Ontario"
b'@soapsindepthcbs @BandB_CBS bill should be ashamed doing that to his own son that is disgusting to sleep with his wife #BoldandBeautiful',BoldandBeautiful,"Toronto, Ontario"
b'@soapsindepthcbs @BandB_CBS   hope its a dream they didnt really sleep together . othher wise steffy just did a mil\\u2026 https://t.co/fSIkaqy8ax',,"Toronto, Ontario"
b'@soapsindepthcbs @BandB_CBS he should have known steffy was not emotionally able to make a decision like sleeping with him #BoldandBeautiful',BoldandBeautiful,"Toronto, Ontario"
"b""Don't do that &amp; disturb my sleep . https://t.co/D9K0UoURVz""",,"Toronto, Ontario"
"b'Most of my friends are saying not to invest in digital currency. \\n\\nOkay, I\\u2019ll just be a barista for the rest of my life.'",,"Toronto, Ontario"
b'can\\u2019t watch my bulls for the rest of the season. i\\u2019ll tune in next year',,"Toronto, Ontario"
"b""Event complete. I can now go back to sleeping and responding to people's messages and being a\\u2026 https://t.co/UL44DRvuW1""",,"Toronto, Ontario"
b'stress level: i have to restart my potatoes',,"Toronto, Ontario"
b'Barely slept last night can barely focus so much shit on my mind going to be a long day and a long week... fml man',,"Toronto, Ontario"
b'\\U0001f389 Nine more sleeps \\U0001f389. \\n         Register today!! https://t.co/RDVaWncqB1',,"Toronto, Ontario"
b'can\\u2019t sleep',,"Toronto, Ontario"
"b""Soft kitty, warm kitty\\nLittle ball of fur\\nHappy kitty, sleepy kitty\\nPurr, purr, purr\\n\\nI never thought I'll get LSS over this \\U0001f602""",,"Toronto, Ontario"
b'The amazing @jarredOnline are restocking here at #1114QueenEast! Sale items have been added &amp; the perfect\\u2026 https://t.co/wKlTIWszrA',1114QueenEast,"Toronto, Ontario"
b'Sleep? What is sleep? https://t.co/dYczknQQZy',,"Toronto, Ontario"
b'We sleep because the simulation running Earth doesn\\u2019t have the processing power to run all\\u2026 https://t.co/NHo3GO02sq',,"Toronto, Ontario"
"b'My roommates r throwing their 4th party since September, can someone let me sleepover or wha?'",,"Toronto, Ontario"
b'If your team ever going to win a cup or get out of last place?? Hmmm nope! Go sleep https://t.co/wZSx5AND5C',,"Toronto, Ontario"
b'Just imagine how tiny Mother Earth is in comparison to the rest of the universe.',,"Toronto, Ontario"
"b'Can\\u2019t tell if I\\u2019m sleepy, having anxiety or using sleep as a way to avoid dealing with things that give me anxiety.'",,"Toronto, Ontario"
b'my moms sleeping upstairs so i\\u2019m watching kpop videos on the big boy tv https://t.co/Ew3WEWUacv',,"Toronto, Ontario"
b'Time for a goodnight sleep I really could use it.',,"Toronto, Ontario"
b'i have sleeping problems',,"Toronto, Ontario"
"b'@DebRoyChandi did you reach your destination? I mean, are you in wi fi zoned? Shall call you before I go to sleep t\\u2026 https://t.co/4uGu0Fq6en'",,"Toronto, Ontario"
"b'@DebRoyChandi did you reach your destination? I mean, are you in wi fi zoned? Shall call you before I go to sleep t\\u2026 https://t.co/tTEHoEmXgS'",,"Toronto, Ontario"
"b'@DebRoyChandi did you reach your destination? I mean, are you wi fi zoned? Shall call you before I go to sleep then\\u2026 https://t.co/VxALYgNQhK'",,"Toronto, Ontario"
b'@PanfurSquad Here I am catching my first quick eleven-hour nap of the day! #panfursquad https://t.co/Z1oSCoAQxf',panfursquad,"Toronto, Ontario"
b'@adamjthor i rest my case',,"Toronto, Ontario"
b'I jwu and wanna sleep again',,"Toronto, Ontario"
b'JT is coming back . That\\u2019s for sure. The rest is just rumour &amp; fabrication #yr',yr,"Toronto, Ontario"
b'About to go to a sleep doctor expert or something because I\\u2019m tired of being sleep deprived :///',,"Toronto, Ontario"
"b""i wonder if eminem is keeping up with hip-hop these days. smh he's probably just sleeping""",,"Toronto, Ontario"
b'These late @MapleLeafs games sure do interfere with a girl\\u2019s beauty sleep... \\n\\n#Toronto #StandWitness #TMLtalk',"Toronto,StandWitness,TMLtalk","Toronto, Ontario"
b'I can go the rest of my life without hearing Bust It Baby pt. 2 ever again',,"Toronto, Ontario"
b'@figurestoronto Don\\u2019t make reservation at this resto. You might get cancelled at last minute if friend of owner wan\\u2026 https://t.co/lTLonoKh1X',,"Toronto, Ontario"
b'brb i\\u2019ll do the rest in a sec my brothers high as shit im gonna fuck with him',,"Toronto, Ontario"
b'About to take a beautiful nap \\U0001f629',,"Toronto, Ontario"
"b'Wow sikat ka na, napa arrogant mo naman pala. No wonder why. \\U0001f60f'",,"Toronto, Ontario"
"b""@Tom_Parkin_ Gotta take a nap and write a paper. It's been a joy chatting with you. I follow your work. :)""",,"Toronto, Ontario"
"b'My hand is resting on ethan_tattoos upper leg, pretty close to his sweet spot. Definite\\u2026 https://t.co/Pc2sfpehU3'",,"Toronto, Ontario"
b'My sleeping pattern is so fucked up',,"Toronto, Ontario"
b'Listening to Step by Step on the radio at @awjunction while baby sleeps. Life could be worse. #nkotb #stillcatchy #baconegger',"nkotb,stillcatchy,baconegger","Toronto, Ontario"
"b'Woke up looking even better than when I went to sleep, that shit really was beauty sleep'",,"Toronto, Ontario"
