province_id,province_name,division_id,division_name,latitude,longitude,num_tweets,physical_activity,sedentary_behavior,sleeping
46,Manitoba,4609,Division No.  9,49.972421999999995,-98.289185,253.0,0.0,38.0,0.0
59,British Columbia / Colombie-Britannique,5901,East Kootenay,,,0.0,0.0,0.0,0.0
59,British Columbia / Colombie-Britannique,5933,Thompson-Nicola,50.2598803,-121.4070114,601.0,7.0,24.0,5.0
48,Alberta,4816,Division No. 16,52.147651399999994,-106.66809640000001,3.0,0.0,0.0,0.0
59,British Columbia / Colombie-Britannique,5919,Cowichan Valley,48.81174475,-123.803624662522,81.0,3.0,6.0,0.0
46,Manitoba,4621,Division No. 21,54.77440345,-101.882480716359,4577.0,36.0,176.0,17.0
46,Manitoba,4608,Division No.  8,50.99591160000001,-98.7987473049144,10.0,0.0,0.0,0.0
48,Alberta,4811,Division No. 11,52.147651399999994,-106.66809640000001,37.0,0.0,2.0,0.0
48,Alberta,4802,Division No.  2,50.9227196,-102.791443,1566.0,14.0,90.0,10.0
59,British Columbia / Colombie-Britannique,5951,Bulkley-Nechako,54.492124200000006,-125.809230711388,309.0,0.0,24.0,0.0
47,Saskatchewan,4714,Division No. 14,53.186956200000004,-105.7210493,593.0,5.0,27.0,8.0
46,Manitoba,4604,Division No.  4,49.224836200000006,-98.9121735,12.0,1.0,2.0,0.0
59,British Columbia / Colombie-Britannique,5941,Cariboo,49.247778499999995,-122.88977369999999,5354.0,53.0,264.0,25.0
48,Alberta,4801,Division No.  1,52.1531542,-106.66806509999998,64.0,0.0,5.0,0.0
46,Manitoba,4611,Division No. 11,49.884017,-97.16857900000001,5740.0,41.0,294.0,37.0
59,British Columbia / Colombie-Britannique,5929,Sunshine Coast,49.6212539,-124.02641499999999,51.0,0.0,0.0,0.0
47,Saskatchewan,4716,Division No. 16,53.186956200000004,-105.7210493,0.0,0.0,0.0,0.0
59,British Columbia / Colombie-Britannique,5935,Central Okanagan,49.9528689,-119.384755517864,271.0,7.0,8.0,2.0
46,Manitoba,4606,Division No.  6,49.8485092,-100.9322654,113.0,0.0,5.0,3.0
48,Alberta,4810,Division No. 10,51.6394143,-103.52742109999998,279.0,0.0,12.0,0.0
59,British Columbia / Colombie-Britannique,5926,Comox Valley,49.6727748,-124.92761770000001,266.0,4.0,11.0,2.0
59,British Columbia / Colombie-Britannique,5924,Strathcona,49.279554,-123.0899788,11176.0,96.0,506.0,45.0
48,Alberta,4815,Division No. 15,52.147651399999994,-106.66809640000001,0.0,0.0,0.0,0.0
59,British Columbia / Colombie-Britannique,5927,Powell River,49.837097,-124.52453600000001,20.0,0.0,0.0,0.0
47,Saskatchewan,4707,Division No.  7,53.186956200000004,-105.7210493,8.0,0.0,1.0,0.0
