date,watch,watching,watches,watched,chilling,isPartial
2004-01-01,12,1,5,0,0,True
2004-02-01,12,1,4,0,0,False
2004-03-01,11,2,5,0,0,False
2004-04-01,11,2,4,0,0,False
2004-05-01,11,2,4,0,0,False
2004-06-01,12,2,5,0,0,False
2004-07-01,11,2,5,0,0,False
2004-08-01,13,2,5,0,0,False
2004-09-01,15,1,5,0,0,False
2004-10-01,12,1,5,0,0,False
2004-11-01,13,1,6,0,0,False
2004-12-01,14,1,9,0,0,False
2005-01-01,12,2,5,0,0,False
2005-02-01,12,1,5,0,0,False
2005-03-01,12,2,4,0,0,False
2005-04-01,13,2,4,0,0,False
2005-05-01,13,2,4,0,0,False
2005-06-01,12,2,4,0,0,False
2005-07-01,12,2,4,0,0,False
2005-08-01,13,2,5,0,0,False
2005-09-01,14,2,5,0,0,False
2005-10-01,13,1,4,0,0,False
2005-11-01,13,1,5,0,0,False
2005-12-01,14,2,7,0,0,False
2006-01-01,12,2,4,0,0,False
2006-02-01,12,1,4,0,0,False
2006-03-01,12,2,4,0,0,False
2006-04-01,12,2,4,0,0,False
2006-05-01,12,2,4,0,0,False
2006-06-01,15,2,4,0,0,False
2006-07-01,13,2,4,0,0,False
2006-08-01,13,2,5,0,0,False
2006-09-01,13,1,4,0,0,False
2006-10-01,13,1,4,0,0,False
2006-11-01,15,1,5,0,0,False
2006-12-01,16,1,7,0,0,False
2007-01-01,16,1,4,0,0,False
2007-02-01,17,2,4,0,0,False
2007-03-01,18,2,4,0,0,False
2007-04-01,19,2,4,0,0,False
2007-05-01,20,2,4,0,0,False
2007-06-01,22,2,5,0,0,False
2007-07-01,23,2,5,0,0,False
2007-08-01,25,2,5,0,0,False
2007-09-01,25,2,4,0,0,False
2007-10-01,29,2,5,0,0,False
2007-11-01,33,2,6,0,0,False
2007-12-01,38,2,7,0,0,False
2008-01-01,37,2,4,0,0,False
2008-02-01,40,2,4,0,0,False
2008-03-01,42,2,4,0,0,False
2008-04-01,39,2,4,0,0,False
2008-05-01,44,2,4,0,0,False
2008-06-01,48,2,4,0,0,False
2008-07-01,50,2,4,0,0,False
2008-08-01,54,2,4,0,0,False
2008-09-01,51,2,4,0,0,False
2008-10-01,54,2,4,0,0,False
2008-11-01,62,2,5,0,0,False
2008-12-01,64,2,6,0,0,False
2009-01-01,64,2,4,0,0,False
2009-02-01,67,2,4,0,0,False
2009-03-01,61,2,4,0,0,False
2009-04-01,64,2,4,0,0,False
2009-05-01,61,2,4,0,0,False
2009-06-01,58,2,4,0,0,False
2009-07-01,65,2,5,0,0,False
2009-08-01,67,2,5,0,0,False
2009-09-01,64,2,5,0,0,False
2009-10-01,72,2,4,0,0,False
2009-11-01,78,2,6,0,0,False
2009-12-01,80,2,8,0,0,False
2010-01-01,76,2,5,0,0,False
2010-02-01,80,2,5,0,0,False
2010-03-01,79,2,5,0,0,False
2010-04-01,81,2,5,0,0,False
2010-05-01,85,2,5,0,0,False
2010-06-01,87,2,5,0,0,False
2010-07-01,97,3,5,0,0,False
2010-08-01,85,2,5,0,0,False
2010-09-01,79,2,5,0,0,False
2010-10-01,81,2,5,0,0,False
2010-11-01,79,2,6,0,0,False
2010-12-01,86,2,8,0,0,False
2011-01-01,87,2,5,0,0,False
2011-02-01,90,2,5,0,0,False
2011-03-01,82,2,4,0,0,False
2011-04-01,85,2,4,0,0,False
2011-05-01,85,2,5,0,0,False
2011-06-01,87,2,5,0,0,False
2011-07-01,90,3,5,0,0,False
2011-08-01,100,3,6,0,0,False
2011-09-01,93,2,6,0,0,False
2011-10-01,92,2,5,0,0,False
2011-11-01,90,2,7,0,0,False
2011-12-01,91,2,9,0,0,False
2012-01-01,92,2,6,0,0,False
2012-02-01,88,2,5,0,0,False
2012-03-01,82,2,5,0,0,False
2012-04-01,80,2,5,0,0,False
2012-05-01,74,2,5,0,0,False
2012-06-01,81,2,5,0,0,False
2012-07-01,86,3,6,0,0,False
2012-08-01,82,3,6,0,0,False
2012-09-01,77,2,6,0,0,False
2012-10-01,83,2,5,0,0,False
2012-11-01,85,2,7,0,0,False
2012-12-01,89,2,9,1,0,False
2013-01-01,84,2,6,0,0,False
2013-02-01,86,2,5,0,0,False
2013-03-01,83,2,5,0,0,False
2013-04-01,76,2,5,0,0,False
